"","ID","Text","DataCount","NurseCount","DataProp","NurseProp","Delta"
"2",2,"Active Listening",0,2,0,0.0035,-0.0035
"3",3,"Acuity",0,7,0,0.0123,-0.0123
"4",4,"Adaptability",6,32,0.0042,0.0562,-0.052
"5",5,"Agility",13,0,0.0092,0,0.0092
"6",6,"Allocating Resources",3,0,0.0021,0,0.0021
"7",7,"Analysis",2264,22,1.6034,0.0387,1.5647
"10",10,"Attentive",76,3,0.0538,0.0053,0.0485
"11",11,"Authenticity",6,0,0.0042,0,0.0042
"12",12,"Body Language",0,1,0,0.0018,-0.0018
"13",13,"Brainstorming",8,0,0.0057,0,0.0057
"14",14,"Business Ethics",2,0,0.0014,0,0.0014
"17",17,"Calm",2,15,0.0014,0.0264,-0.025
"18",18,"Clarity",27,1,0.0191,0.0018,0.0173
"19",19,"Coaching",17,32,0.012,0.0562,-0.0442
"20",20,"Collaborating",49,7,0.0347,0.0123,0.0224
"21",21,"Collaborative",269,56,0.1905,0.0984,0.0921
"22",22,"Commitment",78,91,0.0552,0.1599,-0.1047
"23",23,"Competitiveness",1,0,7e-04,0,7e-04
"24",24,"Confidence",29,5,0.0205,0.0088,0.0117
"27",27,"Cooperation",0,2,0,0.0035,-0.0035
"28",28,"Coordination",19,122,0.0135,0.2144,-0.2009
"29",29,"Coping",8,14,0.0057,0.0246,-0.0189
"30",30,"Crisis Management",3,1,0.0021,0.0018,3e-04
"32",32,"Critical Thinking",111,35,0.0786,0.0615,0.0171
"34",34,"Curiosity",62,0,0.0439,0,0.0439
"35",35,"Customer Service",14,86,0.0099,0.1511,-0.1412
"39",39,"Decision-Making",64,56,0.0453,0.0984,-0.0531
"40",40,"Decision Making",76,43,0.0538,0.0756,-0.0218
"41",41,"Delegation",2,8,0.0014,0.0141,-0.0127
"42",42,"Dependability",1,1,7e-04,0.0018,-0.0011
"43",43,"Design",1522,113,1.0779,0.1986,0.8793
"47",47,"Discipline",179,52,0.1268,0.0914,0.0354
"48",48,"Dispute Resolution",0,1,0,0.0018,-0.0018
"52",52,"Emotional Intelligence",1,0,7e-04,0,7e-04
"53",53,"Empathy",10,3,0.0071,0.0053,0.0018
"54",54,"Encouraging",89,2,0.063,0.0035,0.0595
"55",55,"Enthusiasm",15,6,0.0106,0.0105,9.99999999999994e-05
"57",57,"Experimenting",79,0,0.0559,0,0.0559
"58",58,"Facilitating",5,5,0.0035,0.0088,-0.0053
"59",59,"Facilitation",5,3,0.0035,0.0053,-0.0018
